"ENTITY_CD","ENTITY_NAME","YEAR","NUM_ELL","PER_ELL","NUM_AM_IND","PER_AM_IND","NUM_BLACK","PER_BLACK","NUM_HISP","PER_HISP","NUM_ASIAN","PER_ASIAN","NUM_WHITE","PER_WHITE","NUM_Multi","PER_Multi","NUM_SWD","PER_SWD","NUM_FEMALE","PER_FEMALE","NUM_MALE","PER_MALE","NUM_ECDIS","PER_ECDIS","NUM_MIGRANT","PER_MIGRANT","NUM_HOMELESS","PER_HOMELESS","NUM_FOSTER","PER_FOSTER","NUM_ARMED","PER_ARMED"
"570302060003","HAVERLING SENIOR HIGH SCHOOL","2018","0","0","1","0","9","2","10","2","0","0","428","95","1","0",67,15,204,45,245,55,237,53,0,0,19,4,0,0,0,0
"570302060004","DANA L LYON MIDDLE SCHOOL","2018","1","0","1","0","14","2","7","1","0","0","542","96","1","0",98,17,298,53,267,47,357,63,1,0,10,2,0,0,0,0
"570401040000","BRADFORD CENTRAL SCHOOL DISTRICT","2018","0","0","0","0","0","0","3","1","0","0","244","97","4","2",52,21,125,50,126,50,174,69,0,0,0,0,0,0,0,0
"570401040001","BRADFORD CENTRAL SCHOOL","2018","0","0","0","0","0","0","3","1","0","0","244","97","4","2",52,21,125,50,126,50,174,69,0,0,0,0,0,0,0,0
"570603040000","CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT","2018","0","0","2","0","2","0","14","2","5","1","776","95","15","2",138,17,418,51,396,49,475,58,0,0,24,3,8,1,0,0
"570603040001","CAMPBELL-SAVONA ELEMENTARY SCHOOL","2018","0","0","1","0","1","0","12","3","2","0","405","94","9","2",67,16,216,50,214,50,259,60,0,0,13,3,4,1,0,0
"570603040002","CAMPBELL-SAVONA JUNIOR/SENIOR HIGH SCHOOL","2018","0","0","1","0","1","0","2","1","3","1","371","97","6","2",71,18,202,53,182,47,216,56,0,0,11,3,4,1,0,0
"571000010000","CORNING CITY SCHOOL DISTRICT","2018","43","1","13","0","87","2","111","2","176","4","4130","88","175","4",848,18,2263,48,2429,52,2001,43,0,0,56,1,15,0,0,0
"571000010003","CALVIN U SMITH ELEMENTARY SCHOOL","2018","1","0","2","1","4","1","6","2","5","2","277","92","7","2",60,20,126,42,175,58,171,57,0,0,7,2,0,0,0,0
"571000010005","ERWIN VALLEY ELEMENTARY SCHOOL","2018","19","4","0","0","9","2","8","2","51","11","382","81","21","4",75,16,235,50,236,50,138,29,0,0,3,1,1,0,0,0
"571000010007","FREDERICK CARDER ELEMENTARY SCHOOL","2018","4","1","1","0","4","1","10","2","8","2","432","90","27","6",75,16,244,51,238,49,194,40,0,0,4,1,1,0,0,0
"571000010008","HUGH W GREGG ELEMENTARY SCHOOL","2018","3","1","0","0","5","2","15","7","1","0","182","84","13","6",38,18,124,57,92,43,96,44,0,0,2,1,1,0,0,0
"571000010012","WILLIAM E SEVERN ELEMENTARY SCHOOL","2018","1","0","1","0","3","1","7","2","3","1","394","92","22","5",94,22,205,48,225,52,253,59,0,0,5,1,5,1,0,0
"571000010013","WINFIELD STREET ELEMENTARY SCHOOL","2018","0","0","0","0","1","0","8","3","0","0","216","92","9","4",45,19,114,49,120,51,151,65,0,0,9,4,0,0,0,0
"571000010017","CORNING-PAINTED POST HIGH SCHOOL","2018","7","0","5","0","46","3","27","2","77","5","1367","88","40","3",268,17,756,48,806,52,569,36,0,0,21,1,3,0,0,0
