"ENTITY_CD","ENTITY_NAME","YEAR","NUM_FREE_LUNCH","PER_FREE_LUNCH","NUM_REDUCED_LUNCH","PER_REDUCED_LUNCH"
"043501060000","YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT","2016","1002","43","264","11"
"043501060001","DELEVAN ELEMENTARY SCHOOL","2016","245","62","33","8"
"043501060004","PIONEER MIDDLE SCHOOL","2016","294","41","85","12"
"043501060005","ARCADE ELEMENTARY SCHOOL","2016","192","39","50","10"
"043501060006","PIONEER SENIOR HIGH SCHOOL","2016","271","37","96","13"
"050100010000","AUBURN CITY SCHOOL DISTRICT","2016","2014","48","151","4"
"050100010002","CASEY PARK ELEMENTARY SCHOOL","2016","384","70","19","3"
"050100010004","GENESEE STREET ELEMENTARY SCHOOL","2016","308","80","8","2"
"050100010005","HERMAN AVENUE ELEMENTARY SCHOOL","2016","139","32","11","3"
"050100010007","OWASCO ELEMENTARY SCHOOL","2016","197","44","7","2"
"050100010008","WILLIAM H SEWARD ELEMENTARY SCHOOL","2016","214","43","18","4"
"050100010009","AUBURN JUNIOR HIGH SCHOOL","2016","272","45","26","4"
"050100010013","AUBURN HIGH SCHOOL","2016","500","40","62","5"
"050301040000","WEEDSPORT CENTRAL SCHOOL DISTRICT","2016","194","24","39","5"
"050301040002","WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL","2016","84","21","22","5"
"050301040003","WEEDSPORT ELEMENTARY SCHOOL","2016","110","28","17","4"
"050401040000","CATO-MERIDIAN CENTRAL SCHOOL DISTRICT","2016","327","35","59","6"
"050401040001","CATO-MERIDIAN ELEMENTARY SCHOOL","2016","137","41","26","8"
"050401040002","CATO-MERIDIAN MIDDLE SCHOOL","2016","101","35","14","5"
"050401040003","CATO-MERIDIAN SENIOR HIGH SCHOOL","2016","89","30","19","6"
"050701040000","SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT","2016","216","35","35","6"
"050701040005","SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL","2016","92","32","14","5"
"050701040007","SOUTHERN CAYUGA ELEMENTARY SCHOOL","2016","124","37","21","6"
"051101040000","PORT BYRON CENTRAL SCHOOL DISTRICT","2016","378","42","52","6"
"051101040001","A A GATES ELEMENTARY SCHOOL","2016","209","48","25","6"
"051101040004","PORT BYRON SENIOR HIGH SCHOOL","2016","169","36","27","6"
"051301040000","MORAVIA CENTRAL SCHOOL DISTRICT","2016","356","39","80","9"
"051301040001","MILLARD FILLMORE ELEMENTARY SCHOOL","2016","194","45","26","6"
"051301040003","MORAVIA JUNIOR-SENIOR HIGH SCHOOL","2016","162","33","54","11"
"051901040000","UNION SPRINGS CENTRAL SCHOOL DISTRICT","2016","250","31","30","4"
"051901040002","ANDREW J SMITH ELEMENTARY SCHOOL","2016","61","35","8","5"
"051901040003","CAYUGA ELEMENTARY SCHOOL","2016","82","38","3","1"
